"Item.ID","Data_value","Units","Item","Year","Month_num","Month"
"CPIM.SAP0100",2.64,"Dollars","Oranges, 1kg",2018,9,"September"
"CPIM.SAP0100",2.61,"Dollars","Oranges, 1kg",2018,10,"October"
"CPIM.SAP0100",3.07,"Dollars","Oranges, 1kg",2018,11,"November"
"CPIM.SAP0100",3.61,"Dollars","Oranges, 1kg",2018,12,"December"
"CPIM.SAP0100",4.06,"Dollars","Oranges, 1kg",2019,1,"January"
"CPIM.SAP0100",3.92,"Dollars","Oranges, 1kg",2019,2,"February"
"CPIM.SAP0100",3.81,"Dollars","Oranges, 1kg",2019,3,"March"
"CPIM.SAP0100",3.9,"Dollars","Oranges, 1kg",2019,4,"April"
"CPIM.SAP0100",4.58,"Dollars","Oranges, 1kg",2019,5,"May"
"CPIM.SAP0100",4.06,"Dollars","Oranges, 1kg",2019,6,"June"
"CPIM.SAP0100",3.52,"Dollars","Oranges, 1kg",2019,7,"July"
"CPIM.SAP0101",1.66,"Dollars","Bananas, 1kg",2006,6,"June"
"CPIM.SAP0101",1.59,"Dollars","Bananas, 1kg",2006,7,"July"
"CPIM.SAP0101",1.83,"Dollars","Bananas, 1kg",2006,8,"August"
"CPIM.SAP0101",2.32,"Dollars","Bananas, 1kg",2006,9,"September"
"CPIM.SAP0101",2.48,"Dollars","Bananas, 1kg",2006,10,"October"
"CPIM.SAP0101",2.48,"Dollars","Bananas, 1kg",2006,11,"November"
"CPIM.SAP0101",2.4,"Dollars","Bananas, 1kg",2006,12,"December"
"CPIM.SAP0101",2.36,"Dollars","Bananas, 1kg",2007,1,"January"
"CPIM.SAP0101",2.48,"Dollars","Bananas, 1kg",2007,2,"February"
"CPIM.SAP0101",2.37,"Dollars","Bananas, 1kg",2007,3,"March"
"CPIM.SAP0101",2.34,"Dollars","Bananas, 1kg",2007,4,"April"
"CPIM.SAP0101",2.36,"Dollars","Bananas, 1kg",2007,5,"May"
"CPIM.SAP0101",2.29,"Dollars","Bananas, 1kg",2007,6,"June"
"CPIM.SAP0101",2.29,"Dollars","Bananas, 1kg",2007,7,"July"
"CPIM.SAP0101",2.29,"Dollars","Bananas, 1kg",2007,8,"August"
"CPIM.SAP0101",2.4,"Dollars","Bananas, 1kg",2007,9,"September"
"CPIM.SAP0101",2.37,"Dollars","Bananas, 1kg",2007,10,"October"
"CPIM.SAP0101",2.41,"Dollars","Bananas, 1kg",2007,11,"November"
"CPIM.SAP0101",2.38,"Dollars","Bananas, 1kg",2007,12,"December"
"CPIM.SAP0101",2.38,"Dollars","Bananas, 1kg",2008,1,"January"
"CPIM.SAP0101",2.36,"Dollars","Bananas, 1kg",2008,2,"February"
