"objectid","basic_colour","body_type","cc_rating","chassis7","first_nz_registration_year","first_nz_registration_month","gross_vehicle_mass","height","import_status","make","model","motive_power","number_of_axles","number_of_seats","nz_assembled","original_country","power_rating","previous_country","road_transport_code","submodel","TLA","transmission_type","vdam_weight","vehicle_type","vehicle_usage","vehicle_year"
13739,"white","utility",1996,"",2011,10,2720,0,"new","Great Wall","V200","diesel",2,5,"imported built-up","China",105,"None","","2.0l tdi ute 2wd 6mt","Auckland","6-gear manual",0,"goods van/truck/utility","private passenger",2011
13740,"black","saloon",5967,"",2011,10,0,0,"new","Holden","Commodore","petrol",2,5,"imported built-up","Australia",260,"None","","ss sdn at","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
13741,"grey","saloon",1300,"mw3s410",1984,8,0,0,"new","Mitsubishi","Mirage","petrol",0,5,"unknown","Not Known",0,"None","","","Auckland","",0,"passenger car/van","emergency",1984
13742,"grey","saloon",1270,"b11b110",1984,8,0,0,"new","Nissan","Sunny","petrol",0,5,"unknown","Not Known",0,"None","","","Waimakariri District","",0,"passenger car/van","private passenger",1984
13743,"silver","other commercial trailer",0,"r17121",2002,5,0,0,"new","Reid","Trailer","",2,0,"nz assembled/built","New Zealand",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2002
13744,"silver","hatchback",1390,"",2012,1,1850,0,"new","Volkswagen","Golf","petrol",0,5,"imported built-up","Germany",90,"None","","tsi 90kw 7dsg","Auckland","7-gear auto",0,"passenger car/van","private passenger",2012
13745,"white","station wagon",2488,"",2011,6,2100,0,"new","Nissan","X-trail","petrol",2,5,"imported built-up","Japan",125,"None","","2.5 st-l cvt","Christchurch City","continuously variable",0,"passenger car/van","private passenger",2011
13746,"red","hatchback",1240,"ak12-87",2012,6,1225,0,"used","Nissan","March","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Hamilton City","",0,"passenger car/van","private passenger",2007
13747,"grey","hatchback",1490,"e11-006",2010,8,1355,0,"used","Nissan","Note","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Wellington City","",0,"passenger car/van","private passenger",2005
13748,"white","hatchback",1798,"",2008,11,1805,0,"new","Toyota","Corolla","petrol",2,5,"imported built-up","Japan",100,"None","","1.8p gx hatch 5 4a","Kaipara District","4-gear auto",0,"passenger car/van","private passenger",2008
13749,"silver","hatchback",1999,"",2011,7,1905,0,"new","Ford","Focus","petrol",2,5,"imported built-up","Germany",107,"None","","zetec 2.0 a hatch","Kapiti Coast District","4-gear auto",0,"passenger car/van","private passenger",2011
13750,"grey","hatchback",1490,"",2009,4,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxa 1.5 5dr","Whangarei District","4-gear auto",0,"passenger car/van","private passenger",2009
13751,"white","saloon",2996,"",2010,9,2265,0,"new","Bmw","528i","petrol",2,5,"imported built-up","Germany",190,"None","","sedan 8a 4dr 3.0l","Auckland","8-gear auto",0,"passenger car/van","private passenger",2010
13752,"white","hatchback",1372,"",2011,10,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","ltda 1.4 5dr","Rotorua District","4-gear auto",0,"passenger car/van","private passenger",2011
